2363
30	128	3	100	3000	0.000015
32	128	3	100	21000	0.000062
14	128	3	100	10000	0.000071
46	128	3	100	3000	0.000079
0	128	3	100	23000	0.000089
62	128	3	100	4000	0.000095
62	128	3	100	8000	0.000111
16	128	3	100	2000	0.000119
30	128	3	100	17000	0.000151
32	128	3	100	8000	0.000158
48	128	3	100	5000	0.000178
16	128	3	100	39000	0.00021
0	128	3	100	6000	0.000211
30	128	3	100	5000	0.000231
48	128	3	100	5000	0.000244
30	128	3	100	8000	0.000278
48	128	3	100	4000	0.000319
32	128	3	100	15000	0.000407
48	128	3	100	9000	0.000435
64	128	3	100	4000	0.000454
16	128	3	100	135000	0.000487
62	128	3	100	1000	0.000495
16	128	3	100	14000	0.000521
62	128	3	100	2000	0.000557
62	128	3	100	5000	0.000584
16	128	3	100	121000	0.000605
64	128	3	100	1000	0.000607
62	128	3	100	7000	0.000616
64	128	3	100	4000	0.000639
32	128	3	100	5000	0.000671
48	128	3	100	2000	0.000679
30	128	3	100	8000	0.000692
16	128	3	100	21000	0.00073
0	128	3	100	3000	0.000744
0	128	3	100	6000	0.000753
32	128	3	100	3000	0.000761
30	128	3	100	6000	0.000797
62	128	3	100	19000	0.000854
0	128	3	100	4000	0.000877
16	128	3	100	24000	0.000884
32	128	3	100	34000	0.000969
48	128	3	100	10000	0.000987
64	128	3	100	12000	0.000994
112	128	3	100	232000	0.001015
32	128	3	100	7000	0.001017
0	128	3	100	11000	0.001022
48	128	3	100	3000	0.001024
62	128	3	100	21000	0.00105
32	128	3	100	4000	0.00106
30	128	3	100	1000	0.001087
48	128	3	100	1000	0.001185
0	128	3	100	21000	0.001204
30	128	3	100	1000	0.001206
46	128	3	100	3000	0.001213
112	128	3	100	4000	0.001241
62	128	3	100	5000	0.001264
62	128	3	100	189000	0.001295
48	128	3	100	25000	0.001338
30	128	3	100	4000	0.001411
112	128	3	100	4000	0.001426
64	128	3	100	3000	0.001455
32	128	3	100	15000	0.001519
112	128	3	100	169000	0.001572
48	128	3	100	31000	0.00161
32	128	3	100	7000	0.001626
16	128	3	100	28000	0.001637
112	128	3	100	3000	0.001643
46	128	3	100	2000	0.001669
112	128	3	100	6000	0.001671
64	128	3	100	9000	0.001727
